hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,176,2017,August,32,7,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017
City Hotel,54,2017,August,32,10,1,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,D,D,2,No Deposit,14,NULL,0,Transient,157.5,0,0,Check-Out,14/8/2017
City Hotel,138,2017,August,32,11,1,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,14/8/2017
City Hotel,138,2017,August,32,11,1,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,14/8/2017
City Hotel,0,2017,August,33,13,1,0,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,180,0,0,Check-Out,14/8/2017
City Hotel,157,2017,August,32,10,1,3,2,1,0,BB,ROU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,2,Check-Out,14/8/2017
City Hotel,1,2017,August,32,11,1,2,2,0,0,BB,PRT,Online TA,GDS,0,0,0,A,A,0,No Deposit,195,NULL,0,Transient,200,0,1,Check-Out,14/8/2017
City Hotel,102,2017,August,32,7,2,5,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7,NULL,0,Transient,201.4,0,2,Check-Out,14/8/2017
City Hotel,149,2017,August,32,7,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017
City Hotel,195,2017,August,32,12,1,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017
City Hotel,20,2017,August,32,10,1,3,2,0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,2,Check-Out,14/8/2017
City Hotel,5,2017,August,33,13,1,0,2,0,0,BB,PRY,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,89,0,0,Check-Out,14/8/2017
City Hotel,158,2017,August,32,10,1,3,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,175.5,0,1,Check-Out,14/8/2017
City Hotel,36,2017,August,32,12,1,1,2,0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,155,0,1,Check-Out,14/8/2017
City Hotel,105,2017,August,32,12,1,1,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,225,0,0,Check-Out,14/8/2017
City Hotel,317,2017,August,32,11,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,108.9,1,1,Check-Out,14/8/2017
City Hotel,122,2017,August,32,7,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,111.6,0,1,Check-Out,14/8/2017
City Hotel,294,2017,August,33,13,1,0,2,0,0,BB,SWE,Direct,Direct,0,0,0,F,F,3,No Deposit,14,NULL,0,Transient,201.25,0,1,Check-Out,14/8/2017
City Hotel,2,2017,August,32,12,1,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,1,Check-Out,14/8/2017
City Hotel,187,2017,August,32,11,1,2,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,1,Check-Out,14/8/2017
City Hotel,56,2017,August,33,13,1,0,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,140,0,1,Check-Out,14/8/2017
City Hotel,144,2017,August,32,10,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,2,Check-Out,14/8/2017
City Hotel,128,2017,August,32,11,1,2,2,0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,2,Check-Out,14/8/2017
City Hotel,295,2017,August,32,10,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,156.6,0,0,Check-Out,14/8/2017
City Hotel,130,2017,August,32,9,1,4,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85,NULL,0,Transient,80.1,0,0,Check-Out,14/8/2017
City Hotel,153,2017,August,32,10,1,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,90,0,0,Check-Out,14/8/2017
City Hotel,6,2017,August,32,10,1,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,200,0,0,Check-Out,14/8/2017
City Hotel,23,2017,August,32,8,1,5,2,0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,0,Check-Out,14/8/2017
City Hotel,317,2017,August,32,11,1,2,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient-Party,116.1,0,1,Check-Out,14/8/2017
City Hotel,108,2017,August,32,10,1,3,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9,NULL,0,Transient,195,0,2,Check-Out,14/8/2017
City Hotel,295,2017,August,32,10,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,156.6,0,0,Check-Out,14/8/2017
City Hotel,295,2017,August,32,10,1,3,3,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient-Party,156.6,0,0,Check-Out,14/8/2017
City Hotel,195,2017,August,32,12,1,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,14/8/2017
City Hotel,320,2017,August,32,12,1,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,123.3,0,3,Check-Out,14/8/2017
City Hotel,153,2017,August,32,10,1,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,90,0,0,Check-Out,14/8/2017
City Hotel,0,2017,August,33,13,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,K,1,No Deposit,152,NULL,0,Transient,98.4,0,0,Check-Out,14/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,141,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,449,NULL,0,Transient-Party,106,0,0,Check-Out,15/8/2017
City Hotel,129,2017,August,32,8,2,5,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,1,Check-Out,15/8/2017
City Hotel,129,2017,August,32,8,2,5,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,1,Check-Out,15/8/2017
City Hotel,168,2017,August,33,13,2,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,0,Check-Out,15/8/2017
City Hotel,113,2017,August,32,10,2,3,2,0,0,SC,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,125,0,0,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,181,2017,August,32,11,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,100.48,0,0,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,141,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,449,NULL,0,Transient-Party,106,0,0,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,54,2017,August,33,13,2,0,3,0,0,SC,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,85,NULL,0,Transient,152,0,0,Check-Out,15/8/2017
City Hotel,1,2017,August,33,14,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,A,2,No Deposit,NULL,NULL,0,Transient,180,0,0,Check-Out,15/8/2017
City Hotel,179,2017,August,32,12,2,1,2,0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,1,Check-Out,15/8/2017
City Hotel,256,2017,August,32,10,2,3,2,0,0,BB,POL,Direct,Direct,0,0,0,A,A,4,No Deposit,14,NULL,0,Transient,86.63,0,2,Check-Out,15/8/2017
City Hotel,21,2017,August,33,13,2,0,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,160,0,2,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,122,2017,August,32,11,2,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,15/8/2017
City Hotel,7,2017,August,33,14,1,0,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,NULL,0,Transient,180,0,0,Check-Out,15/8/2017
City Hotel,146,2017,August,32,12,2,1,3,0,0,BB,MYS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,2,Check-Out,15/8/2017
City Hotel,146,2017,August,32,12,2,1,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,2,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,150,2017,August,33,14,1,0,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,0,Check-Out,15/8/2017
City Hotel,225,2017,August,32,11,2,2,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,2,Check-Out,15/8/2017
City Hotel,88,2017,August,33,13,2,5,1,2,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9,NULL,0,Transient,172.29,0,1,Check-Out,20/8/2017
City Hotel,37,2017,August,33,13,2,0,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,NULL,0,Transient,136,0,1,Check-Out,15/8/2017
City Hotel,87,2017,August,32,12,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,130,0,3,Check-Out,15/8/2017
City Hotel,87,2017,August,32,12,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,160,0,2,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,156,2017,August,32,12,2,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83,NULL,0,Transient,104.4,0,0,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,265,2017,August,32,12,2,1,2,1,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125.1,0,2,Check-Out,15/8/2017
City Hotel,265,2017,August,32,12,2,1,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,2,Check-Out,15/8/2017
City Hotel,34,2017,August,33,14,1,0,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient,219,1,2,Check-Out,15/8/2017
City Hotel,34,2017,August,33,14,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,2,No Deposit,9,NULL,0,Transient,160,0,2,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,170,2017,August,32,11,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9,NULL,0,Transient-Party,175.5,0,0,Check-Out,15/8/2017
City Hotel,170,2017,August,32,11,2,2,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,4,No Deposit,9,NULL,0,Transient-Party,148.5,1,2,Check-Out,15/8/2017
City Hotel,1,2017,August,33,13,2,0,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,210,0,2,Check-Out,15/8/2017
City Hotel,21,2017,August,33,14,1,0,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient,218,0,3,Check-Out,15/8/2017
City Hotel,195,2017,August,32,12,2,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,1,Check-Out,15/8/2017
City Hotel,187,2017,August,32,10,2,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,168,NULL,0,Transient,80.1,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,215,2017,August,32,12,2,1,2,2,0,BB,MAR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,202.5,0,0,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,9,2017,August,32,12,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,NULL,0,Transient-Party,166.67,0,0,Check-Out,15/8/2017
City Hotel,91,2017,August,33,13,2,0,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,112.5,0,0,Check-Out,15/8/2017
City Hotel,150,2017,August,32,8,2,5,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,148.5,0,2,Check-Out,15/8/2017
City Hotel,87,2017,August,32,8,2,5,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,200,2017,August,32,11,2,2,2,0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,100.48,0,0,Check-Out,15/8/2017
City Hotel,23,2017,August,32,12,2,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,K,0,No Deposit,9,NULL,0,Transient,190,0,0,Check-Out,15/8/2017
City Hotel,54,2017,August,32,11,2,2,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,210,0,1,Check-Out,15/8/2017
City Hotel,145,2017,August,32,12,2,1,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient-Party,129.83,1,0,Check-Out,15/8/2017
City Hotel,145,2017,August,32,12,2,1,3,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,NULL,0,Transient-Party,175.5,0,0,Check-Out,15/8/2017
City Hotel,104,2017,August,32,12,2,1,2,0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,0,Check-Out,15/8/2017
City Hotel,104,2017,August,32,12,2,1,2,0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,125,0,0,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,3,No Deposit,229,NULL,0,Transient-Party,0,0,0,Check-Out,15/8/2017
City Hotel,1,2017,August,33,14,1,0,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,144,0,1,Check-Out,15/8/2017
City Hotel,504,2017,August,32,12,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,1,Check-Out,15/8/2017
City Hotel,1,2017,August,32,12,2,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,152,NULL,0,Transient,126.19,0,0,Check-Out,15/8/2017
City Hotel,4,2017,August,32,12,2,1,3,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,233.33,0,0,Check-Out,15/8/2017
City Hotel,176,2017,August,32,10,2,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,168,NULL,0,Transient,103.5,0,0,Check-Out,15/8/2017
City Hotel,7,2017,August,32,12,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,180,0,1,Check-Out,15/8/2017
City Hotel,107,2017,August,32,11,2,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,NULL,0,Transient,185,0,2,Check-Out,15/8/2017
City Hotel,140,2017,August,33,15,0,1,2,0,0,SC,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,NULL,0,Transient,71.1,0,0,Check-Out,16/8/2017
